,count,hate_speech,offensive_language,neither,label,tweet
0,3,0,0,3,0, rt  as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out
1,3,0,3,0,0, rt  boy dats coldtyga dwn bad for cuffin dat hoe in the 1st place
2,3,0,3,0,0, rt  dawg rt  you ever fuck a bitch and she start to cry you be confused as shit
3,3,0,2,1,0, rt ganderson based she look like a tranny
4,6,0,6,0,0, rt  the shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361
5,3,1,2,0,0,madisonx the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 128514128514128514
6,3,0,3,0,0,brighterdays i can not just sit up and hate on another bitch  i got too much shit going on
7,3,0,3,0,0,8220 cause im tired of you big bitches coming for us skinny girls8221
8,3,0,3,0,0, amp you might not get ya bitch back amp thats that 
9,3,1,2,0,0,  hobbies include fighting mariambitch
10,3,0,3,0,0, keeks is a bitch she curves everyone  lol i walked into a conversation like this smh
11,3,0,3,0,0, murda gang bitch its gang land 
12,3,0,2,1,0, so hoes that smoke are losers   yea  go on ig
13,3,0,3,0,0, bad bitches is the only thing that i like 
14,3,1,2,0,0, bitch get up off me 
15,3,0,3,0,0, bitch nigga miss me with it 
16,3,0,3,0,0, bitch plz whatever 
17,3,1,2,0,0, bitch who do you love 
18,3,0,3,0,0, bitches get cut off everyday b 
19,3,0,3,0,0, black bottle amp a bad bitch 
20,3,0,3,0,0, broke bitch cant tell me nothing 
21,3,0,3,0,0, cancel that bitch like nino 
22,3,0,3,0,0, cant you see these hoes wont change 
23,3,0,3,0,0, fuck no that bitch dont even suck dick  128514128514128514 the kermit videos bout to fuck ig up
24,3,0,3,0,0, got ya bitch tip toeing on my hardwood floors  128514 
25,3,0,2,1,0, her pussy lips like heaven doors  128524
26,3,0,3,0,0, hoe what its hitting for 
27,3,0,3,0,0, i met that pussy on ocean dr  i gave that pussy a pill  128524
28,3,0,3,0,0, i need a trippy bitch who fuck on hennessy 
29,3,0,3,0,0, i spend my money how i want bitch its my business 
30,3,0,3,0,0, i txt my old bitch my new bitch pussy wetter 
31,3,0,3,0,0, id say im back to the old me but my old bitches would get excited  128524
32,3,0,3,0,0, if you aint bout that murder game pussy nigga shut up 
33,3,0,3,0,0, if youre toes aint done you pussy stinks 
34,3,0,3,0,0, im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that 
35,3,0,3,0,0, is that ya bitch 
36,3,0,3,0,0, it aint nothing to cut a bitch off 
37,3,0,3,0,0, jus meet son now he ya mane ass bitches  shots
38,3,0,2,1,0, lames crying over hoes thats tears of a clown 
